,Articles,Categories
620,A0621,"C0001,C0009,C0116"
621,A0622,"C0001,C0054,C0057"
622,A0623,"C0001,C0016,C0028,C0135"
623,A0624,"C0001,C0016,C0028,C0120"
624,A0625,"C0001,C0054,C0112"
625,A0626,"C0001,C0016,C0028,C0120"
626,A0627,"C0001,C0016,C0028,C0137"
627,A0628,"C0001,C0016,C0028,C0137"
628,A0629,"C0001,C0016,C0028,C0136"
629,A0630,"C0001,C0013,C0082"
630,A0631,"C0001,C0016,C0092,C0129,C0001,C0006,C0050"
631,A0632,"C0001,C0016,C0028,C0136"
632,A0633,"C0001,C0054,C0057"
633,A0634,"C0001,C0006,C0019"
634,A0635,"C0001,C0014,C0089"
635,A0636,"C0001,C0014,C0089"
636,A0637,"C0001,C0016,C0028,C0137"
637,A0638,"C0001,C0016,C0028,C0135"
638,A0639,"C0001,C0009,C0029,C0124,C0001,C0054,C0109"
639,A0640,"C0001,C0006,C0019"
640,A0641,"C0001,C0008,C0066"
641,A0642,"C0001,C0008,C0032"
642,A0643,"C0001,C0013,C0081"
643,A0644,"C0001,C0016,C0028,C0137"
644,A0645,"C0001,C0016,C0033,C0127"
645,A0646,"C0001,C0008,C0032,C0125,C0001,C0005"
646,A0647,"C0001,C0008,C0053"
647,A0648,"C0001,C0008,C0053"
648,A0649,"C0001,C0016,C0028,C0137"
649,A0650,"C0001,C0016,C0028,C0137"
650,A0651,"C0001,C0016,C0028,C0137"
651,A0652,"C0001,C0016,C0028,C0120"
652,A0653,"C0001,C0011,C0073"
653,A0654,"C0001,C0015,C0104"
654,A0655,"C0001,C0011,C0059"
655,A0656,"C0001,C0012"
656,A0657,"C0001,C0016,C0028,C0141"
657,A0658,"C0001,C0014,C0108"
658,A0659,"C0001,C0016,C0033,C0127"
659,A0660,"C0001,C0005,C0001,C0008,C0053,C0130"
660,A0661,"C0001,C0008,C0085"
661,A0662,"C0001,C0054,C0110"
662,A0663,"C0001,C0016,C0028,C0137"
663,A0664,"C0001,C0006,C0098"
664,A0665,"C0001,C0016,C0028,C0141"
665,A0666,"C0001,C0008,C0018,C0118,C0001,C0005"
666,A0667,"C0001,C0016,C0028,C0137"
667,A0668,"C0001,C0009,C0029,C0122,C0001,C0014,C0068"
668,A0669,"C0001,C0008,C0085"
669,A0670,"C0001,C0006,C0098"
670,A0671,"C0001,C0008,C0022"
671,A0672,"C0001,C0016,C0028,C0140"
672,A0673,"C0001,C0004,C0036"
673,A0674,"C0001,C0009,C0029,C0123,C0001,C0014,C0068,C0001,C0014,C0094"
674,A0675,"C0001,C0011,C0070"
675,A0676,"C0001,C0054,C0110"
676,A0677,"C0001,C0016,C0028,C0128"
677,A0678,"C0001,C0015,C0046"
678,A0679,"C0001,C0016,C0028,C0132"
679,A0680,"C0001,C0054,C0056"
680,A0681,"C0001,C0014,C0017"
681,A0682,"C0001,C0008,C0032"
682,A0683,"C0001,C0013,C0080"
683,A0684,"C0001,C0008,C0053"
684,A0685,"C0001,C0008,C0032,C0125,C0001,C0005"
685,A0686,"C0001,C0054,C0056"
686,A0687,"C0001,C0014,C0068"
687,A0688,"C0001,C0003,C0048"
688,A0689,"C0001,C0014,C0108"
689,A0690,"C0001,C0006,C0050"
690,A0691,"C0001,C0008,C0063"
691,A0692,"C0001,C0008,C0064"
692,A0693,"C0001,C0008,C0063"
693,A0694,"C0001,C0009,C0029,C0121,C0001,C0003,C0037"
694,A0695,"C0001,C0009,C0029"
695,A0696,"C0001,C0011,C0070"
696,A0697,"C0001,C0004,C0095"
697,A0698,"C0001,C0008,C0062,C0119,C0001,C0005"
698,A0699,"C0001,C0008,C0063"
699,A0700,"C0001,C0009,C0029,C0001,C0008,C0063"
700,A0701,"C0001,C0008,C0032,C0125,C0001,C0005"
701,A0702,"C0001,C0004,C0095"
702,A0703,"C0001,C0014,C0017"
703,A0704,"C0001,C0004,C0075"
704,A0705,"C0001,C0016,C0033,C0127"
705,A0706,"C0001,C0009,C0020"
706,A0707,"C0001,C0014,C0117"
707,A0708,"C0001,C0016,C0028,C0136"
708,A0709,"C0001,C0014,C0017"
709,A0710,"C0001,C0014,C0089"
710,A0711,"C0001,C0008,C0062,C0119,C0001,C0005"
711,A0712,"C0001,C0025,C0025"
712,A0713,"C0001,C0008,C0053"
713,A0714,"C0001,C0010,C0043"
714,A0715,"C0001,C0008,C0085"
715,A0716,"C0001,C0010,C0106"
716,A0717,"C0001,C0008,C0053"
717,A0718,"C0001,C0006,C0024"
718,A0719,"C0001,C0014,C0051"
719,A0720,"C0001,C0008,C0053"
720,A0721,"C0001,C0014,C0102"
721,A0722,"C0001,C0015,C0103"
722,A0723,"C0001,C0025,C0025"
723,A0724,"C0001,C0008,C0032"
724,A0725,"C0001,C0054,C0112"
725,A0726,"C0001,C0005,C0001,C0008,C0053,C0130"
726,A0727,"C0001,C0016,C0028,C0136"
727,A0728,"C0001,C0008,C0018,C0118,C0001,C0005"
728,A0729,"C0001,C0008,C0018,C0118,C0001,C0005"
729,A0730,"C0001,C0016,C0028,C0137"
730,A0731,"C0001,C0016,C0028,C0137"
731,A0732,"C0001,C0003,C0030"
732,A0733,"C0001,C0054,C0056"
733,A0734,"C0001,C0006,C0050"
734,A0735,"C0001,C0009,C0060"
735,A0736,"C0001,C0010,C0038"
736,A0737,"C0001,C0014,C0117"
737,A0738,"C0001,C0008,C0018,C0118,C0001,C0005"
738,A0739,"C0001,C0014,C0117"
739,A0740,"C0001,C0006,C0098"
740,A0741,"C0001,C0010,C0041"
741,A0742,"C0001,C0016,C0033,C0126"
742,A0743,"C0001,C0016,C0028,C0141"
743,A0744,"C0001,C0016,C0033,C0127"
744,A0745,"C0001,C0010,C0043"
745,A0746,"C0001,C0016,C0033,C0127"
746,A0747,"C0001,C0016,C0033,C0126"
747,A0748,"C0001,C0014,C0051"
748,A0749,"C0001,C0008,C0018,C0001,C0008,C0065"
749,A0750,"C0001,C0008,C0078"
750,A0751,"C0001,C0016,C0033,C0127"
751,A0752,"C0001,C0016,C0033,C0126"
752,A0753,"C0001,C0012"
753,A0754,"C0001,C0008,C0085"
754,A0755,"C0001,C0008,C0085"
755,A0756,"C0001,C0006,C0098"
756,A0757,"C0001,C0016,C0033,C0127"
757,A0758,"C0001,C0025,C0025"
758,A0759,"C0001,C0016,C0092,C0142"
759,A0760,"C0001,C0014,C0114"
760,A0761,"C0001,C0054,C0031"
761,A0762,"C0001,C0016,C0028,C0128"
762,A0763,"C0001,C0008,C0062,C0119,C0001,C0005"
763,A0764,"C0001,C0008,C0066"
764,A0765,"C0001,C0008,C0066"
765,A0766,"C0001,C0008,C0063"
766,A0767,"C0001,C0016,C0028,C0137"
767,A0768,"C0001,C0008,C0018,C0118,C0001,C0005"
768,A0769,"C0001,C0005,C0001,C0008,C0085"
769,A0770,"C0001,C0016,C0028,C0120"
770,A0771,"C0001,C0004,C0071"
771,A0772,"C0001,C0011,C0070"
772,A0773,"C0001,C0004,C0095"
773,A0774,"C0001,C0006,C0098"
774,A0775,"C0001,C0004,C0095"
775,A0776,"C0001,C0054,C0107"
776,A0777,"C0001,C0006,C0050"
777,A0778,"C0001,C0014,C0026"
778,A0779,"C0001,C0008,C0064"
779,A0780,"C0001,C0016,C0028,C0135"
780,A0781,"C0001,C0016,C0028,C0136"
781,A0782,"C0001,C0054,C0056"
782,A0783,"C0001,C0008,C0063"
783,A0784,"C0001,C0006,C0024"
784,A0785,"C0001,C0009,C0029,C0122,C0001,C0014,C0079"
785,A0786,"C0001,C0016,C0092,C0129"
786,A0787,"C0001,C0016,C0092,C0143"
787,A0788,"C0001,C0008,C0032"
788,A0789,"C0001,C0016,C0028,C0137"
789,A0790,"C0001,C0016,C0028,C0137"
790,A0791,"C0001,C0008,C0018"
791,A0792,"C0001,C0008,C0018,C0118,C0001,C0005"
792,A0793,"C0001,C0004,C0095"
793,A0794,"C0001,C0004,C0095"
794,A0795,"C0001,C0015,C0046"
795,A0796,"C0001,C0054,C0031"
796,A0797,"C0001,C0008,C0032"
797,A0798,"C0001,C0009,C0029,C0122,C0001,C0014,C0068"
798,A0799,"C0001,C0014,C0026"
799,A0800,"C0001,C0016,C0033,C0127"
800,A0801,"C0001,C0016,C0033,C0126"
801,A0802,"C0001,C0008,C0066"
802,A0803,"C0001,C0016,C0028,C0140"
803,A0804,"C0001,C0054,C0057"
804,A0805,"C0001,C0008,C0063"
805,A0806,"C0001,C0008,C0058"
806,A0807,"C0001,C0014,C0074"
807,A0808,"C0001,C0014,C0068"
808,A0809,"C0001,C0014,C0069"
809,A0810,"C0001,C0014,C0108"
810,A0811,"C0001,C0014,C0027"
811,A0812,"C0001,C0008,C0085"
812,A0813,"C0001,C0016,C0028,C0132"
813,A0814,"C0001,C0008,C0064"
814,A0815,"C0001,C0009,C0067"
815,A0816,"C0001,C0014,C0069"
816,A0817,"C0001,C0054,C0056,C0001,C0016,C0028,C0141"
817,A0818,"C0001,C0054,C0055"
818,A0819,"C0001,C0016,C0092,C0134"
819,A0820,"C0001,C0008,C0058"
820,A0821,"C0001,C0016,C0092,C0143"
821,A0822,"C0001,C0016,C0028,C0120"
822,A0823,"C0001,C0006,C0024,C0001,C0009,C0029,C0122"
823,A0824,"C0001,C0016,C0028,C0137"
824,A0825,"C0001,C0016,C0092,C0142"
825,A0826,"C0001,C0014,C0089"
826,A0827,"C0001,C0016,C0028,C0135"
827,A0828,"C0001,C0016,C0028,C0135"
828,A0829,"C0001,C0006,C0024"
829,A0830,"C0001,C0009,C0029,C0124"
830,A0831,"C0001,C0014,C0068"
831,A0832,"C0001,C0015,C0103"
832,A0833,"C0001,C0054,C0056"
833,A0834,"C0001,C0008,C0066"
834,A0835,"C0001,C0008,C0032,C0125,C0001,C0005"
835,A0836,"C0001,C0054,C0056,C0001,C0016,C0028,C0141"
836,A0837,"C0001,C0054,C0056,C0001,C0016,C0028,C0141"
837,A0838,"C0001,C0014,C0089"
838,A0839,"C0001,C0016,C0028,C0132"
839,A0840,"C0001,C0013,C0080"
840,A0841,"C0001,C0054,C0110"
841,A0842,"C0001,C0054,C0107"
842,A0843,"C0001,C0015,C0083"
843,A0844,"C0001,C0008,C0018,C0118,C0001,C0005"
844,A0845,"C0001,C0010,C0041"
845,A0846,"C0001,C0016,C0028,C0128"
846,A0847,"C0001,C0054,C0056,C0001,C0016,C0028,C0141"
847,A0848,"C0001,C0016,C0028,C0132"
848,A0849,"C0001,C0016,C0092,C0142"
849,A0850,"C0001,C0016,C0033,C0127"
850,A0851,"C0001,C0008,C0018,C0118,C0001,C0005"
851,A0852,"C0001,C0004,C0042,C0001,C0009,C0099"
852,A0853,"C0001,C0016,C0028,C0120"
853,A0854,"C0001,C0008,C0063"
854,A0855,"C0001,C0014,C0068"
855,A0856,"C0001,C0014,C0040"
856,A0857,"C0001,C0014,C0069"
857,A0858,"C0001,C0014,C0117"
858,A0859,"C0001,C0014,C0117"
859,A0860,"C0001,C0009,C0029,C0121,C0001,C0014,C0079"
860,A0861,"C0001,C0009,C0029,C0121,C0001,C0014,C0079"
861,A0862,"C0001,C0014,C0068"
862,A0863,"C0001,C0014,C0068"
863,A0864,"C0001,C0014,C0017"
864,A0865,"C0001,C0011,C0087"
865,A0866,"C0001,C0009,C0029,C0123"
866,A0867,"C0001,C0014,C0068"
867,A0868,"C0001,C0054,C0112"
868,A0869,"C0001,C0054,C0056"
869,A0870,"C0001,C0016,C0028,C0137"
870,A0871,"C0001,C0054,C0110"
871,A0872,"C0001,C0016,C0033,C0133"
872,A0873,"C0001,C0016,C0028,C0132"
873,A0874,"C0001,C0016,C0033,C0133"
874,A0875,"C0001,C0008,C0062"
875,A0876,"C0001,C0006,C0050"
876,A0877,"C0001,C0009,C0099"
877,A0878,"C0001,C0054,C0057"
878,A0879,"C0001,C0014,C0114"
879,A0880,"C0001,C0016,C0028,C0141"
880,A0881,"C0001,C0008,C0063"
881,A0882,"C0001,C0008,C0063"
882,A0883,"C0001,C0008,C0063"
883,A0884,"C0001,C0008,C0063"
884,A0885,"C0001,C0008,C0085"
885,A0886,"C0001,C0054,C0110"
886,A0887,"C0001,C0006,C0098"
887,A0888,"C0001,C0054,C0056"
888,A0889,"C0001,C0016,C0028,C0135"
889,A0890,"C0001,C0009,C0076,C0001,C0015,C0101"
890,A0891,"C0001,C0004,C0021"
891,A0892,"C0001,C0008,C0032,C0125,C0001,C0005"
892,A0893,"C0001,C0008,C0063"
893,A0894,"C0001,C0016,C0028,C0137"
894,A0895,"C0001,C0008,C0062,C0119,C0001,C0005"
895,A0896,"C0001,C0015,C0101"
896,A0897,"C0001,C0011,C0070"
897,A0898,"C0001,C0008,C0062"
898,A0899,"C0001,C0054,C0056,C0001,C0016,C0028,C0141"
899,A0900,"C0001,C0016,C0033,C0127"
900,A0901,"C0001,C0054,C0056"
901,A0902,"C0001,C0009,C0060"
902,A0903,"C0001,C0016,C0028,C0135"
903,A0904,"C0001,C0016,C0028,C0136"
904,A0905,"C0001,C0014,C0108"
905,A0906,"C0001,C0014,C0017"
906,A0907,"C0001,C0009,C0029,C0122,C0001,C0015,C0103"
907,A0908,"C0001,C0015,C0103"
908,A0909,"C0001,C0014,C0089"
909,A0910,"C0001,C0008,C0062,C0119,C0001,C0005,C0001,C0008,C0064"
910,A0911,"C0001,C0014,C0061"
911,A0912,"C0001,C0006,C0024,C0001,C0014,C0051"
912,A0913,"C0001,C0016,C0092,C0142"
913,A0914,"C0001,C0016,C0028,C0132"
914,A0915,"C0001,C0016,C0033,C0127"
915,A0916,"C0001,C0015,C0103"
916,A0917,"C0001,C0015,C0103"
917,A0918,"C0001,C0016,C0028,C0141"
918,A0919,"C0001,C0054,C0047"
919,A0920,"C0001,C0054,C0055"
920,A0921,"C0001,C0054,C0055"
921,A0922,"C0001,C0004,C0095"
922,A0923,"C0001,C0054,C0056,C0001,C0016,C0028,C0141"
923,A0924,"C0001,C0008,C0058"
924,A0925,"C0001,C0008,C0063"
925,A0926,"C0001,C0009,C0086"
926,A0927,"C0001,C0004,C0021"
927,A0928,"C0001,C0004,C0095"
928,A0929,"C0001,C0004,C0044"
929,A0930,"C0001,C0054,C0039"
930,A0931,"C0001,C0013,C0080"
931,A0932,"C0001,C0013,C0082"
932,A0933,"C0001,C0014,C0069"
933,A0934,"C0001,C0014,C0026"
934,A0935,"C0001,C0014,C0068"
935,A0936,"C0001,C0008,C0066"
936,A0937,"C0001,C0014,C0068"
937,A0938,"C0001,C0009,C0020,C0001,C0014,C0068"
938,A0939,"C0001,C0008,C0085"
939,A0940,"C0001,C0006,C0024,C0001,C0006,C0050"
940,A0941,"C0001,C0008,C0058"
941,A0942,"C0001,C0008,C0035"
942,A0943,"C0001,C0006,C0050"
943,A0944,"C0001,C0054,C0055"
944,A0945,"C0001,C0054,C0054"
945,A0946,"C0001,C0008,C0035"
946,A0947,"C0001,C0004,C0052,C0001,C0008,C0078"
947,A0948,"C0001,C0016,C0028,C0120"
948,A0949,"C0001,C0016,C0033,C0127"
949,A0950,"C0001,C0016,C0028,C0136"
950,A0951,"C0001,C0016,C0028,C0136"
951,A0952,"C0001,C0016,C0028,C0120"
952,A0953,"C0001,C0054,C0056"
953,A0954,"C0001,C0054,C0056,C0001,C0016,C0028,C0141"
954,A0955,"C0001,C0016,C0028,C0136"
955,A0956,"C0001,C0054,C0056"
956,A0957,"C0001,C0005,C0001,C0008,C0064"
957,A0958,"C0001,C0016,C0028,C0136"
958,A0959,"C0001,C0009,C0020"
959,A0960,"C0001,C0054,C0047"
960,A0961,"C0001,C0003,C0045"
961,A0962,"C0001,C0009,C0099"
962,A0963,"C0001,C0009,C0076"
963,A0964,"C0001,C0008,C0032"
964,A0965,"C0001,C0009,C0099"
965,A0966,"C0001,C0011,C0113,C0001,C0014,C0117"
966,A0967,"C0001,C0008,C0053"
967,A0968,"C0001,C0008,C0032,C0125,C0001,C0005"
968,A0969,"C0001,C0008,C0062"
969,A0970,"C0001,C0016,C0092,C0134"
970,A0971,"C0001,C0010,C0041"
971,A0972,"C0001,C0016,C0028,C0135"
972,A0973,"C0001,C0008,C0085"
973,A0974,"C0001,C0009,C0020,C0001,C0006,C0024"
974,A0975,"C0001,C0014,C0102"
975,A0976,"C0001,C0008,C0085"
976,A0977,"C0001,C0009,C0099"
977,A0978,"C0001,C0008,C0085"
978,A0979,"C0001,C0016,C0092,C0142"
979,A0980,"C0001,C0016,C0092,C0142"
980,A0981,"C0001,C0016,C0092,C0142"
981,A0982,"C0001,C0016,C0092,C0142"
982,A0983,"C0001,C0016,C0092,C0142"
983,A0984,"C0001,C0016,C0092,C0142"
984,A0985,"C0001,C0054,C0031"
985,A0986,"C0001,C0015,C0104"
986,A0987,"C0001,C0010,C0041"
987,A0988,"C0001,C0016,C0028,C0136"
988,A0989,"C0001,C0016,C0028,C0120"
989,A0990,"C0001,C0016,C0028,C0120"
990,A0991,"C0001,C0016,C0028,C0137"
991,A0992,"C0001,C0016,C0028,C0141"
992,A0993,"C0001,C0016,C0028,C0120,C0001,C0054,C0056"
993,A0994,"C0001,C0016,C0028,C0120"
994,A0995,"C0001,C0016,C0028,C0137"
995,A0996,"C0001,C0016,C0028,C0135"
996,A0997,"C0001,C0016,C0028,C0141"
997,A0998,"C0001,C0054,C0109"
998,A0999,"C0001,C0004,C0075"
999,A1000,"C0001,C0004,C0095"
1000,A1001,"C0001,C0004,C0044"
1001,A1002,"C0001,C0008,C0018,C0118"
1002,A1003,"C0001,C0010,C0041"
1003,A1004,"C0001,C0003,C0030"
1004,A1005,"C0001,C0016,C0028,C0128"
1005,A1006,"C0001,C0016,C0033,C0133"
1006,A1007,"C0001,C0010,C0041"
1007,A1008,"C0001,C0054,C0039"
1008,A1009,"C0001,C0010,C0038"
1009,A1010,"C0001,C0010,C0038"
1010,A1011,"C0001,C0008,C0018"
1011,A1012,"C0001,C0006,C0019"
1012,A1013,"C0001,C0014,C0094"
1013,A1014,"C0001,C0004,C0042"
1014,A1015,"C0001,C0015,C0091"
1015,A1016,"C0001,C0014,C0090"
1016,A1017,"C0001,C0008,C0018"
1017,A1018,"C0001,C0015,C0091"
1018,A1019,"C0001,C0014,C0068"
1019,A1020,"C0001,C0009,C0029,C0122"
1020,A1021,"C0001,C0004,C0071"
1021,A1022,"C0001,C0004,C0095"
1022,A1023,"C0001,C0025,C0025"
1023,A1024,"C0001,C0004,C0071"
1024,A1025,"C0001,C0006,C0050"
1025,A1026,"C0001,C0008,C0058"
1026,A1027,"C0001,C0008,C0066"
1027,A1028,"C0001,C0006,C0098"
1028,A1029,"C0001,C0004,C0021,C0001,C0004,C0071"
1029,A1030,"C0001,C0004,C0021"
1030,A1031,"C0001,C0005,C0001,C0008,C0064"
1031,A1032,"C0001,C0016,C0028,C0136"
1032,A1033,"C0001,C0003,C0030,C0001,C0004,C0036"
1033,A1034,"C0001,C0016,C0028,C0120"
1034,A1035,"C0001,C0008,C0053"
1035,A1036,"C0001,C0009,C0060"
1036,A1037,"C0001,C0016,C0033,C0127"
1037,A1038,"C0001,C0016,C0033,C0126"
1038,A1039,"C0001,C0054,C0056,C0001,C0016,C0028,C0141"
1039,A1040,"C0001,C0009,C0096"
1040,A1041,"C0001,C0016,C0028,C0120"
1041,A1042,"C0001,C0054,C0056"
1042,A1043,"C0001,C0016,C0028,C0135"
1043,A1044,"C0001,C0004,C0049"
1044,A1045,"C0001,C0054,C0112"
1045,A1046,"C0001,C0003,C0030"
1046,A1047,"C0001,C0003,C0030"
1047,A1048,"C0001,C0006,C0050"
1048,A1049,"C0001,C0008,C0078"
1049,A1050,"C0001,C0016,C0092,C0142"
1050,A1051,"C0001,C0016,C0092,C0142"
1051,A1052,"C0001,C0008,C0032,C0125,C0001,C0005"
1052,A1053,"C0001,C0011,C0113"
1053,A1054,"C0001,C0008,C0032,C0001,C0008,C0084"
1054,A1055,"C0001,C0008,C0063"
1055,A1056,"C0001,C0016,C0028,C0141"
1056,A1057,"C0001,C0016,C0092,C0129"
1057,A1058,"C0001,C0008,C0058"
1058,A1059,"C0001,C0006,C0098"
1059,A1060,"C0001,C0008,C0063"
1060,A1061,"C0001,C0016,C0092,C0142"
1061,A1062,"C0001,C0006,C0050"
1062,A1063,"C0001,C0008,C0085"
1063,A1064,"C0001,C0008,C0066"
1064,A1065,"C0001,C0016,C0028,C0131,C0001,C0015,C0101"
1065,A1066,"C0001,C0015,C0083,C0001,C0015,C0101"
1066,A1067,"C0001,C0004,C0071"
1067,A1068,"C0001,C0008,C0066"
1068,A1069,"C0001,C0009,C0020,C0001,C0008,C0066"
1069,A1070,"C0001,C0054,C0107"
1070,A1071,"C0001,C0004,C0071"
1071,A1072,"C0001,C0011,C0087"
1072,A1073,"C0001,C0008,C0032"
1073,A1074,"C0001,C0008,C0088"
1074,A1075,"C0001,C0009,C0096"
1075,A1076,"C0001,C0016,C0028,C0120"
1076,A1077,"C0001,C0009,C0076"
1077,A1078,"C0001,C0004,C0095"
1078,A1079,"C0001,C0005,C0001,C0008,C0053,C0130"
1079,A1080,"C0001,C0016,C0028,C0136"
1080,A1081,"C0001,C0016,C0028,C0135"
1081,A1082,"C0001,C0008,C0063"
1082,A1083,"C0001,C0016,C0028,C0120"
1083,A1084,"C0001,C0016,C0028,C0120"
1084,A1085,"C0001,C0009,C0029,C0001,C0004,C0095"
1085,A1086,"C0001,C0009,C0096,C0001,C0015,C0101"
1086,A1087,"C0001,C0008,C0066"
1087,A1088,"C0001,C0016,C0028,C0140"
1088,A1089,"C0001,C0010,C0043"
1089,A1090,"C0001,C0016,C0033,C0138"
1090,A1091,"C0001,C0016,C0033,C0138"
1091,A1092,"C0001,C0008,C0032,C0125,C0001,C0005"
1092,A1093,"C0001,C0016,C0028,C0141"
1093,A1094,"C0001,C0025,C0025"
1094,A1095,"C0001,C0008,C0063"
1095,A1096,"C0001,C0054,C0056,C0001,C0016,C0028,C0132"
1096,A1097,"C0001,C0004,C0044"
1097,A1098,"C0001,C0004,C0044"
1098,A1099,"C0001,C0054,C0054"
1099,A1100,"C0001,C0008,C0018"
1100,A1101,"C0001,C0016,C0033,C0127"
1101,A1102,"C0001,C0003,C0045"
1102,A1103,"C0001,C0016,C0033,C0126"
1103,A1104,"C0001,C0011,C0073"
1104,A1105,"C0001,C0016,C0028,C0141,C0001,C0054,C0100"
1105,A1106,"C0001,C0008,C0084,C0001,C0008,C0111"
1106,A1107,"C0001,C0008,C0084,C0001,C0008,C0111"
1107,A1108,"C0001,C0009,C0020"
1108,A1109,"C0001,C0054,C0056,C0001,C0016,C0028,C0141"
1109,A1110,"C0001,C0005,C0001,C0008,C0053,C0130"
1110,A1111,"C0001,C0014,C0069"
1111,A1112,"C0001,C0014,C0094"
1112,A1113,"C0001,C0014,C0068"
1113,A1114,"C0001,C0016,C0028,C0135"
1114,A1115,"C0001,C0005,C0001,C0008,C0053,C0130"
1115,A1116,"C0001,C0009,C0029,C0122"
1116,A1117,"C0001,C0008,C0053"
1117,A1118,"C0001,C0016,C0028,C0132"
1118,A1119,"C0001,C0016,C0028,C0132"
1119,A1120,"C0001,C0010,C0041"
1120,A1121,"C0001,C0054,C0112"
1121,A1122,"C0001,C0004,C0044"
1122,A1123,"C0001,C0008,C0018"
1123,A1124,"C0001,C0006,C0098"
1124,A1125,"C0001,C0014,C0108"
1125,A1126,"C0001,C0008,C0085"
1126,A1127,"C0001,C0006,C0050"
1127,A1128,"C0001,C0008,C0065"
1128,A1129,"C0001,C0006,C0050"
1129,A1130,"C0001,C0014,C0108"
1130,A1131,"C0001,C0054,C0100"
1131,A1132,"C0001,C0016,C0028,C0141"
1132,A1133,"C0001,C0014,C0017"
1133,A1134,"C0001,C0014,C0094"
1134,A1135,"C0001,C0011,C0093"
1135,A1136,"C0001,C0006,C0098"
1136,A1137,"C0001,C0014,C0117"
1137,A1138,"C0001,C0008,C0053"
1138,A1139,"C0001,C0009,C0076"
1139,A1140,"C0001,C0009,C0060"
1140,A1141,"C0001,C0008,C0064"
1141,A1142,"C0001,C0016,C0033,C0127"
1142,A1143,"C0001,C0054,C0055"
1143,A1144,"C0001,C0008,C0063"
1144,A1145,"C0001,C0003,C0048"
1145,A1146,"C0001,C0010,C0043"
1146,A1147,"C0001,C0014,C0097"
1147,A1148,"C0001,C0014,C0108"
1148,A1149,"C0001,C0014,C0094"
1149,A1150,"C0001,C0014,C0094"
1150,A1151,"C0001,C0011,C0087"
1151,A1152,"C0001,C0014,C0117"
1152,A1153,"C0001,C0014,C0094"
1153,A1154,"C0001,C0014,C0074"
1154,A1155,"C0001,C0014,C0090"
1155,A1156,"C0001,C0009,C0020"
1156,A1157,"C0001,C0009,C0029,C0123,C0001,C0014,C0061"
1157,A1158,"C0001,C0054,C0109"
1158,A1159,"C0001,C0015,C0083"
1159,A1160,"C0001,C0054,C0054"
1160,A1161,"C0001,C0008,C0088"
1161,A1162,"C0001,C0008,C0058"
1162,A1163,"C0001,C0015,C0104"
1163,A1164,"C0001,C0008,C0085"
1164,A1165,"C0001,C0008,C0066"
1165,A1166,"C0001,C0006,C0024"
1166,A1167,"C0001,C0008,C0018"
1167,A1168,"C0001,C0009,C0076"
1168,A1169,"C0001,C0016,C0092,C0144"
1169,A1170,"C0001,C0016,C0028,C0128"
1170,A1171,"C0001,C0015,C0046"
1171,A1172,"C0001,C0008,C0062"
1172,A1173,"C0001,C0015,C0083"
1173,A1174,"C0001,C0003,C0045"
1174,A1175,"C0001,C0004,C0095"
1175,A1176,"C0001,C0004,C0095"
1176,A1177,"C0001,C0008,C0018,C0118"
1177,A1178,"C0001,C0009,C0020,C0001,C0014,C0068"
1178,A1179,"C0001,C0014,C0108"
1179,A1180,"C0001,C0005,C0001,C0008,C0053,C0130"
1180,A1181,"C0001,C0014,C0040"
1181,A1182,"C0001,C0008,C0085"
1182,A1183,"C0001,C0008,C0063"
1183,A1184,"C0001,C0008,C0035,C0001,C0008,C0066"
1184,A1185,"C0001,C0016,C0028,C0136"
1185,A1186,"C0001,C0014,C0102"
1186,A1187,"C0001,C0004,C0095"
1187,A1188,"C0001,C0008,C0085"
1188,A1189,"C0001,C0008,C0066"
1189,A1190,"C0001,C0008,C0085"
1190,A1191,"C0001,C0016,C0028,C0135"
1191,A1192,"C0001,C0008,C0078"
1192,A1193,"C0001,C0016,C0033,C0138"
1193,A1194,"C0001,C0016,C0033,C0138"
1194,A1195,"C0001,C0014,C0017"
1195,A1196,"C0001,C0054,C0057"
1196,A1197,"C0001,C0011,C0093"
1197,A1198,"C0001,C0008,C0062"
1198,A1199,"C0001,C0014,C0108"
1199,A1200,"C0001,C0014,C0026"
1200,A1201,"C0001,C0012"
1201,A1202,"C0001,C0012"
1202,A1203,"C0001,C0016,C0092,C0142"
1203,A1204,"C0001,C0016,C0028,C0137"
1204,A1205,"C0001,C0016,C0028,C0141"
1205,A1206,"C0001,C0016,C0028,C0128"
1206,A1207,"C0001,C0016,C0028,C0128"
1207,A1208,"C0001,C0016,C0028,C0137"
1208,A1209,"C0001,C0016,C0028,C0128"
1209,A1210,"C0001,C0016,C0028,C0128"
1210,A1211,No_Category
1211,A1212,"C0001,C0004,C0095"
1212,A1213,"C0001,C0006,C0098"
1213,A1214,"C0001,C0054,C0047"
1214,A1215,"C0001,C0009,C0116"
1215,A1216,"C0001,C0008,C0018,C0118,C0001,C0005"
1216,A1217,"C0001,C0014,C0034"
1217,A1218,"C0001,C0054,C0112"
1218,A1219,"C0001,C0016,C0028,C0120"
1219,A1220,"C0001,C0016,C0028,C0137"
1220,A1221,"C0001,C0008,C0065"
1221,A1222,"C0001,C0016,C0028,C0137"
1222,A1223,"C0001,C0009,C0029,C0122"
1223,A1224,"C0001,C0006,C0050"
1224,A1225,"C0001,C0054,C0056,C0001,C0016,C0028,C0137"
