,Code,Article
972,A0973,Colorado_River
973,A0974,Colossus_of_Rhodes
974,A0975,Columba
975,A0976,Columbia_River
976,A0977,Columbine_High_School_massacre
977,A0978,"Columbus,_Ohio"
978,A0979,Comet
979,A0980,Comet_Hale-Bopp
980,A0981,Comet_Halley
981,A0982,Comet_Hyakutake
982,A0983,Comet_Shoemaker-Levy_9
983,A0984,Comet_White-Ortiz-Bolelli
984,A0985,Comics
985,A0986,Comma_Johanneum
986,A0987,Commodore_64
987,A0988,Common_Basilisk
988,A0989,Common_Cuckoo
989,A0990,Common_Eider
990,A0991,Common_Eland
991,A0992,Common_Hazel
992,A0993,Common_Pheasant
993,A0994,Common_Tern
994,A0995,Common_agouti
995,A0996,Common_cold
996,A0997,Common_sage
997,A0998,Commonwealth_Games
998,A0999,Communication
999,A1000,Communism
1000,A1001,Community
1001,A1002,Comoros
1002,A1003,Compact_Disc
1003,A1004,Company_(law)
1004,A1005,Compsognathus
1005,A1006,Computational_chemistry
1006,A1007,Computer
1007,A1008,Computer_and_video_games
1008,A1009,Computer_programming
1009,A1010,Computer_science
1010,A1011,Conakry
1011,A1012,Concorde
1012,A1013,Condoleezza_Rice
1013,A1014,Conflict
1014,A1015,Confucianism
1015,A1016,Confucius
1016,A1017,Congo_River
1017,A1018,Consolation_of_Philosophy
1018,A1019,Constantine_I
1019,A1020,Constantine_II_of_Scotland
1020,A1021,"Constitution_of_May_3,_1791"
1021,A1022,Constitutional_monarchy
1022,A1023,Constructivism_(art)
1023,A1024,Consumer_protection
1024,A1025,Contact_lens
1025,A1026,Continent
1026,A1027,Continental_crust
1027,A1028,Control_car_(rail)
1028,A1029,Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna
1029,A1030,Convention_on_the_Rights_of_the_Child
1030,A1031,Cook_Islands
1031,A1032,Cookiecutter_shark
1032,A1033,Cooperative
1033,A1034,Coot
1034,A1035,Copenhagen
1035,A1036,Copenhagen_Fire_of_1728
1036,A1037,Copper
1037,A1038,Copper(I)_chloride
1038,A1039,Coriander
1039,A1040,Corinthian_War
1040,A1041,Cormorant
1041,A1042,Corn_oil
1042,A1043,Cornea
1043,A1044,Cornell_University
1044,A1045,Coronation_Street
1045,A1046,Corporate_finance
1046,A1047,Corporation
1047,A1048,Corrosion
1048,A1049,Corundum
1049,A1050,Cosmic_inflation
1050,A1051,Cosmic_microwave_background_radiation
1051,A1052,Costa_Rica
1052,A1053,Costume_design
1053,A1054,Cotopaxi
1054,A1055,Cotswolds
1055,A1056,Cotton
1056,A1057,Coulomb's_law
1057,A1058,Country
1058,A1059,Coupling_(railway)
1059,A1060,Coventry
1060,A1061,Crab_Nebula
1061,A1062,Crash_test_dummy
1062,A1063,Craters_of_the_Moon_National_Monument_and_Preserve
1063,A1064,Craton
1064,A1065,Creation-evolution_controversy
1065,A1066,Creationism
1066,A1067,Creative_Commons
1067,A1068,Cretaceous
1068,A1069,Cretaceous-Tertiary_extinction_event
1069,A1070,Cricket
1070,A1071,Crime
1071,A1072,Crime_and_Punishment
1072,A1073,Crime_in_Mexico
1073,A1074,Crimean_Karaites
1074,A1075,Crimean_War
1075,A1076,Crimson-collared_Tanager
1076,A1077,Cristero_War
1077,A1078,Criticism_of_the_War_on_Terrorism
1078,A1079,Croatia
1079,A1080,Crocodile
1080,A1081,Crohn's_disease
1081,A1082,Cross_Fell
1082,A1083,Crossbill
1083,A1084,Crow
1084,A1085,Crown_Jewels_of_the_United_Kingdom
1085,A1086,Crusades
1086,A1087,Crust_(geology)
1087,A1088,Crustacean
1088,A1089,Cryptography
1089,A1090,Crystal
1090,A1091,Crystallographic_defects_in_diamond
1091,A1092,Cuba
1092,A1093,Cubeb
1093,A1094,Cubism
1094,A1095,Cuckmere_Haven
1095,A1096,Cultivar
1096,A1097,Cultural_diversity
1097,A1098,Cultural_identity
1098,A1099,Culture
1099,A1100,Culture_of_the_Democratic_Republic_of_the_Congo
1100,A1101,Curium
1101,A1102,Currency
1102,A1103,Cyanocobalamin
1103,A1104,Cyberpunk
1104,A1105,Cyclamen
1105,A1106,Cyclone_Percy
1106,A1107,Cyclone_Rosita
1107,A1108,Cyclops
1108,A1109,Cymbopogon
1109,A1110,Cyprus
1110,A1111,Cyril_Clarke
1111,A1112,Cyrus_K._Holliday
1112,A1113,Cyrus_the_Great
1113,A1114,Cystic_fibrosis
1114,A1115,Czech_Republic
1115,A1116,Dál_Riata
1116,A1117,Düsseldorf
1117,A1118,DNA
1118,A1119,DNA_repair
1119,A1120,DVD
1120,A1121,Dad's_Army
1121,A1122,Dada
1122,A1123,Dakar
1123,A1124,"Dakota,_Minnesota_and_Eastern_Railroad"
1124,A1125,Daley_Thompson
1125,A1126,"Dallas,_Texas"
1126,A1127,Dam
1127,A1128,Damascus
1128,A1129,Damascus_steel
1129,A1130,Damon_Hill
1130,A1131,Dance
1131,A1132,Dandelion
1132,A1133,Daniel_Day-Lewis
1133,A1134,Daniel_Ellsberg
1134,A1135,Danny_Deever
1135,A1136,Danske_Statsbaner
1136,A1137,Dante_Alighieri
1137,A1138,Danube
1138,A1139,Darfur_conflict
1139,A1140,Dark_Ages
1140,A1141,Darling_River
1141,A1142,Darmstadtium
1142,A1143,Darth_Vader
1143,A1144,Dartmoor
1144,A1145,Das_Kapital
1145,A1146,Data_Encryption_Standard
1146,A1147,David_Attenborough
1147,A1148,David_Beckham
1148,A1149,David_Blanchflower
1149,A1150,David_Cameron
1150,A1151,David_Copperfield_(novel)
1151,A1152,David_Helvarg
1152,A1153,David_Heymann
1153,A1154,David_Hilbert
1154,A1155,David_Hume
1155,A1156,David_III_of_Tao
1156,A1157,David_Livingstone
1157,A1158,Davis_Cup
1158,A1159,Davy_Jones'_Locker
1159,A1160,Day
1160,A1161,Dayuan
1161,A1162,Dead_Sea
1162,A1163,Dead_Sea_scrolls
1163,A1164,Death_Valley_National_Park
1164,A1165,Decade_Volcanoes
1165,A1166,Deconstructivism
1166,A1167,Defaka
1167,A1168,Defense_of_Sihang_Warehouse
1168,A1169,Definition_of_planet
1169,A1170,Deinonychus
1170,A1171,Deity
1171,A1172,Delhi
1172,A1173,Deluge_(mythology)
1173,A1174,Demand_Note
1174,A1175,Democracy
1175,A1176,Democratic_Action_Party
1176,A1177,Democratic_Republic_of_the_Congo
1177,A1178,Demosthenes
1178,A1179,Denis_Law
1179,A1180,Denmark
1180,A1181,Dennis_Ritchie
1181,A1182,"Denver,_Colorado"
1182,A1183,Derby
1183,A1184,Desert
1184,A1185,Desert_locust
1185,A1186,Desmond_Tutu
1186,A1187,Despotism
1187,A1188,"Detroit,_Michigan"
1188,A1189,Devonian
1189,A1190,Dewey_Square
1190,A1191,Diabetes_mellitus
1191,A1192,Diamond
1192,A1193,Diamond_cut
1193,A1194,Diamond_simulant
1194,A1195,Diane_Keaton
1195,A1196,Dice
1196,A1197,Dido_and_Aeneas
1197,A1198,Diego_Garcia
1198,A1199,Diego_Maradona
1199,A1200,Diego_Velázquez
1200,A1201,Differential_equation
1201,A1202,Differential_geometry_and_topology
1202,A1203,Diffuse_interstellar_band
1203,A1204,Dik-dik
1204,A1205,Dill
1205,A1206,Dilophosaurus
1206,A1207,Dimetrodon
1207,A1208,Dingo
1208,A1209,Dinosaur
1209,A1210,Diplodocus
1210,A1211,Directdebit
1211,A1212,Directive_Principles_in_India
1212,A1213,Disneyland_Railroad
1213,A1214,Distilled_beverage
1214,A1215,Dixie_Mission
1215,A1216,Djibouti
1216,A1217,Dmitri_Mendeleev
1217,A1218,Doctor_Who
1218,A1219,Dodo
1219,A1220,Dog
1220,A1221,Doha
1221,A1222,Dolphin
1222,A1223,Domesday_Book
1223,A1224,Domestic_AC_power_plugs_and_sockets
1224,A1225,Domestic_goat
1225,A1226,Domesticated_turkey
1226,A1227,Dominica
1227,A1228,Dominican_Republic
1228,A1229,Donald_Bradman
1229,A1230,Donald_Duck
1230,A1231,Donald_Knuth
1231,A1232,Donation
1232,A1233,Doom
1233,A1234,Dorset
1234,A1235,Double-decker_bus
1235,A1236,Double_bass
1236,A1237,Douglas_Adams
1237,A1238,Douglas_DC-4
1238,A1239,Dove
1239,A1240,Dover
1240,A1241,Down_syndrome
1241,A1242,Dr._Seuss
1242,A1243,Drama
1243,A1244,Draughts
1244,A1245,Drawing
1245,A1246,Dresden
1246,A1247,Drinking_water
1247,A1248,Driving_on_the_left_or_right
1248,A1249,Drosera_anglica
1249,A1250,Drosophila_melanogaster
1250,A1251,Drought
1251,A1252,Drum_and_bass
1252,A1253,Du_Fu
1253,A1254,Dualism_(philosophy_of_mind)
1254,A1255,Dubai
1255,A1256,Dublin
1256,A1257,Dubnium
1257,A1258,Duchenne_muscular_dystrophy
1258,A1259,Dundee
1259,A1260,Dundee_United_F.C.
1260,A1261,Dune
1261,A1262,Dunnock
1262,A1263,Dunstable_Downs
1263,A1264,Duran_Duran
1264,A1265,Durham
1265,A1266,Durham_Cathedral
1266,A1267,Durian
1267,A1268,Dutch_language
1268,A1269,Dwight_D._Eisenhower
1269,A1270,Dysprosium
1270,A1271,E.T._the_Extra-Terrestrial_(Atari_2600)
1271,A1272,E._E._Cummings
1272,A1273,E._P._Wigner
1273,A1274,ECHELON
1274,A1275,EMD_BL2
1275,A1276,EMD_F7
1276,A1277,EMD_GP30
1277,A1278,Eagle
1278,A1279,Eagle_Scout_(Boy_Scouts_of_America)
1279,A1280,Earl_of_Shaftesbury
1280,A1281,Earless_seal
1281,A1282,Earth
1282,A1283,Earth's_atmosphere
1283,A1284,Earthquake
1284,A1285,Earwax
1285,A1286,East-West_Schism
1286,A1287,EastEnders
1287,A1288,East_Africa
1288,A1289,East_Flemish
1289,A1290,East_Timor
1290,A1291,Easter_Island
1291,A1292,Eastern_Orthodox_Church
1292,A1293,Eastern_Roman_Empire
1293,A1294,Ebony
1294,A1295,Ecology
1295,A1296,Economic_inequality
1296,A1297,Economics
1297,A1298,Economy_of_Africa
1298,A1299,Economy_of_India
1299,A1300,Economy_of_Pakistan
1300,A1301,Economy_of_Scotland
1301,A1302,Economy_of_the_Iroquois
1302,A1303,Economy_of_the_Republic_of_Ireland
1303,A1304,Ecuador
1304,A1305,Edema
1305,A1306,Edgar_Allan_Poe
1306,A1307,Edible_salt
1307,A1308,Edinburgh
1308,A1309,Edmond_Halley
1309,A1310,Edmonton
1310,A1311,Edmund_Burke
1311,A1312,Edmund_Hillary
1312,A1313,Education
1313,A1314,Education_in_the_United_States
1314,A1315,Educational_psychology
1315,A1316,Edward_Gibbon
1316,A1317,Edward_III_of_England
1317,A1318,Edward_II_of_England
1318,A1319,Edward_IV_of_England
1319,A1320,Edward_I_of_England
1320,A1321,Edward_Jenner
1321,A1322,Edward_Teller
1322,A1323,Edward_VIII_of_the_United_Kingdom
1323,A1324,Edward_VII_of_the_United_Kingdom
1324,A1325,Edward_VI_of_England
1325,A1326,Edward_V_of_England
1326,A1327,Edward_the_Confessor
1327,A1328,Edwin_of_Northumbria
1328,A1329,Effect_of_Hurricane_Katrina_on_New_Orleans
1329,A1330,Effects_of_global_warming
1330,A1331,Effects_of_nuclear_explosions
1331,A1332,Egg_(food)
1332,A1333,Egypt
1333,A1334,Egyptian_pyramids
1334,A1335,Eifel_Aqueduct
1335,A1336,Eilmer_of_Malmesbury
1336,A1337,Einsteinium
1337,A1338,El_Aaiún
1338,A1339,"El_Hatillo_Municipality,_Miranda"
1339,A1340,El_Lissitzky
1340,A1341,El_Niño-Southern_Oscillation
1341,A1342,El_Salvador
1342,A1343,Elagabalus
1343,A1344,Eldfell
1344,A1345,Election
1345,A1346,Electric_charge
1346,A1347,Electric_field
1347,A1348,Electrical_engineering
1348,A1349,Electrical_resistance
1349,A1350,Electricity
1350,A1351,Electromagnetic_radiation
1351,A1352,Electron
1352,A1353,Electron_beam_welding
1353,A1354,Electronic_amplifier
1354,A1355,Electronics
1355,A1356,Elementary_algebra
1356,A1357,Elementary_arithmetic
1357,A1358,Elementary_group_theory
1358,A1359,Eleocharis_dulcis
1359,A1360,Elephant
1360,A1361,Elephant_bird
1361,A1362,Elephant_shrew
1362,A1363,Elfin-woods_Warbler
1363,A1364,Elias_Ashmole
1364,A1365,Eliminative_materialism
1365,A1366,Elizabeth_Fry
1366,A1367,Elizabeth_II_of_the_United_Kingdom
1367,A1368,Elizabeth_I_of_England
1368,A1369,Elizabethan_Poor_Law_(1601)
1369,A1370,Elvis_Presley
1370,A1371,Emacs
1371,A1372,Emanuel_Swedenborg
1372,A1373,Emirate
1373,A1374,Emma_Roberts
1374,A1375,Emotion
1375,A1376,Emperor_Penguin
1376,A1377,Empires__Dawn_of_the_Modern_World
1377,A1378,Empiricism
1378,A1379,Employment
1379,A1380,Emu
1380,A1381,Enceladus_(moon)
1381,A1382,Encyclopædia_Britannica
1382,A1383,Endoscopic_foreign_body_retrieval
1383,A1384,Energy
1384,A1385,Engineering
1385,A1386,England
1386,A1387,England_expects_that_every_man_will_do_his_duty
1387,A1388,English_Channel
1388,A1389,English_Reformation
1389,A1390,English_language
1390,A1391,English_monarchs_family_tree
1391,A1392,English_peasants'_revolt_of_1381
1392,A1393,English_poetry
1393,A1394,Enigma_machine
1394,A1395,Entropy
1395,A1396,Environmental_science
1396,A1397,Enzyme_kinetics
1397,A1398,Eocene
1398,A1399,Epaminondas
1399,A1400,Epazote
1400,A1401,Epic_of_Gilgamesh
1401,A1402,Episcopal_polity
1402,A1403,Equal_Protection_Clause
1403,A1404,Equatorial_Guinea
1404,A1405,Erbium
1405,A1406,Eric_Clapton
1406,A1407,Erie_Canal
1407,A1408,Eris_(dwarf_planet)
1408,A1409,Eritrea
1409,A1410,Ernest_Hemingway
1410,A1411,Ernest_Rutherford
1411,A1412,Eruption_column
1412,A1413,Erwin_Rommel
1413,A1414,Eskimo
1414,A1415,Esox
1415,A1416,Esperanto
1416,A1417,Essential_oil
1417,A1418,Estonia
1418,A1419,Ethanol
1419,A1420,Ethics
1420,A1421,Ethiopia
1421,A1422,Ethiopian_Wolf
1422,A1423,Ethnic_group
1423,A1424,Euclid
1424,A1425,Euclidean_geometry
1425,A1426,Eukaryote
1426,A1427,Euphrates
1427,A1428,Eurasian_Bullfinch
1428,A1429,Eurasian_Collared_Dove
1429,A1430,Eurasian_Eagle_Owl
1430,A1431,Eurasian_Jay
1431,A1432,Eurasian_Oystercatcher
1432,A1433,Euro
1433,A1434,Europe
1434,A1435,European_Goldfinch
1435,A1436,European_Greenfinch
1436,A1437,European_Kingfisher
1437,A1438,European_Parliament
1438,A1439,European_Space_Agency
1439,A1440,European_Union
1440,A1441,Europium
1441,A1442,Eurovision_Song_Contest
1442,A1443,Euston_Manifesto
1443,A1444,Eustreptospondylus
1444,A1445,Eva_Perón
1445,A1446,Evan_Rachel_Wood
1446,A1447,Evanton
1447,A1448,Evolution
1448,A1449,Evolutionarily_stable_strategy
1449,A1450,Existentialism
1450,A1451,Exploration_of_Mars
1451,A1452,Explorer_I
1452,A1453,Expressionism
1453,A1454,Extinct_birds
1454,A1455,Extinction
1455,A1456,Extrasolar_planet
1456,A1457,Extraterrestrial_life
1457,A1458,Eye
1458,A1459,Eye_(cyclone)
1459,A1460,Eyelid
1460,A1461,Ezra_Pound
1461,A1462,F-35_Lightning_II
1462,A1463,F-4_Phantom_II
1463,A1464,FIFA
1464,A1465,FIFA_World_Cup
1465,A1466,FM_Consolidated_line
1466,A1467,FairTax
1467,A1468,Fair_Isle
1468,A1469,Falcon
1469,A1470,Falkirk_Wheel
1470,A1471,Falkland_Islands
1471,A1472,Family
1472,A1473,Famine
1473,A1474,Fanny_Blankers-Koen
1474,A1475,Faroe_Islands
1475,A1476,Fascism
1476,A1477,Fashion
1477,A1478,Fatty_acid
1478,A1479,Fauna_of_Australia
1479,A1480,Feather
1480,A1481,Fed_Cup
1481,A1482,Federal_Bureau_of_Investigation
1482,A1483,Federated_States_of_Micronesia
1483,A1484,Fedora_Core
1484,A1485,Feldspar
1485,A1486,Felice_Beato
1486,A1487,Felix_Mendelssohn
1487,A1488,Felix_the_Cat
1488,A1489,Fencing
1489,A1490,Fennel
1490,A1491,Ferdinand_Magellan
1491,A1492,Ferdinandea
1492,A1493,Fermi_paradox
1493,A1494,Fermium
1494,A1495,Fern
1495,A1496,Fertile_Crescent
1496,A1497,Fertilizer
1497,A1498,Fetal_alcohol_spectrum_disorder
1498,A1499,Ffestiniog_Railway
1499,A1500,Fiberglass
1500,A1501,Fiction
1501,A1502,Fidel_Castro
1502,A1503,Fieldfare
1503,A1504,Fiji
1504,A1505,Film
1505,A1506,Final_Fantasy_(video_game)
1506,A1507,Final_Fantasy_Adventure
1507,A1508,Finance
1508,A1509,Financial_statements
1509,A1510,Fine_art
1510,A1511,Finland
1511,A1512,Fire
1512,A1513,Firearm
1513,A1514,Firecrest
1514,A1515,Firefly_(TV_series)
1515,A1516,First_Council_of_Nicaea
1516,A1517,First_Crusade
1517,A1518,First_Macedonian_War
1518,A1519,First_Transcontinental_Railroad
1519,A1520,Fish
1520,A1521,Fishing
1521,A1522,Flag_of_Australia
1522,A1523,Flag_of_Belarus
1523,A1524,Flag_of_Hong_Kong
1524,A1525,Flag_of_India
1525,A1526,Flag_of_Mexico
1526,A1527,Flag_of_South_Africa
1527,A1528,Flag_of_the_Republic_of_China
1528,A1529,Flamingo
1529,A1530,Flanders
1530,A1531,Flat_Earth
1531,A1532,Flemish_(linguistics)
1532,A1533,Flemish_dialects
1533,A1534,Flemish_people
1534,A1535,Flood
1535,A1536,Floppy_disk
1536,A1537,Florence_Nightingale
1537,A1538,Florida
1538,A1539,Florida_East_Coast_Railway
1539,A1540,Floris_and_Blancheflour
1540,A1541,Flower
1541,A1542,Floyd_Mayweather_Jr.
1542,A1543,Fluorine
1543,A1544,Flute
1544,A1545,Foie_gras
1545,A1546,Folic_acid
1546,A1547,Folk_music
1547,A1548,Folklore
1548,A1549,Food
1549,A1550,Football
1550,A1551,Football_(soccer)
1551,A1552,Force
1552,A1553,Forensic_facial_reconstruction
1553,A1554,Forest
1554,A1555,Formic_acid
1555,A1556,Formula_One
1556,A1557,Forrest_Gump
1557,A1558,Fort_de_Chartres
1558,A1559,Forth
1559,A1560,Forth_Bridge_(railway)
1560,A1561,Forth_Road_Bridge
1561,A1562,Fossil
1562,A1563,Fossil_fuel
1563,A1564,Fossil_record
1564,A1565,Fourteenth_Amendment_to_the_United_States_Constitution
1565,A1566,Fox
1566,A1567,Frédéric_Chopin
1567,A1568,Fractal
1568,A1569,France
1569,A1570,France_in_the_American_Revolutionary_War
1570,A1571,Frances_Oldham_Kelsey
1571,A1572,Francis_Bacon
1572,A1573,Francis_Crick
1573,A1574,Francis_Drake
1574,A1575,Francis_Petre
1575,A1576,Francis_of_Assisi
1576,A1577,Francisco_Goya
1577,A1578,Francium
1578,A1579,Frank_Lloyd_Wright
1579,A1580,Frankenstein
1580,A1581,Frankfurt
1581,A1582,Franklin_B._Gowen
1582,A1583,Franklin_D._Roosevelt
1583,A1584,Franklin_Pierce
1584,A1585,Franks
1585,A1586,Franz_Kafka
1586,A1587,Franz_Schubert
1587,A1588,Frederick_Douglass
1588,A1589,"Frederick_Hamilton-Temple-Blackwood,_1st_Marquess_of_Dufferin_and_Ava"
1589,A1590,"Frederick_II,_Holy_Roman_Emperor"
1590,A1591,Frederick_II_of_Prussia
1591,A1592,Freetown
1592,A1593,French_Guiana
1593,A1594,French_Open_(tennis)
1594,A1595,French_Polynesia
1595,A1596,French_Revolution
1596,A1597,French_Southern_and_Antarctic_Lands
1597,A1598,French_language
1598,A1599,Fresh_water
1599,A1600,Friedrich_Nietzsche
1600,A1601,Friend_Directdebit
1601,A1602,Frog
1602,A1603,Fruit
1603,A1604,Fugu
1604,A1605,Full_moon
1605,A1606,Funchal
1606,A1607,Functional_programming
1607,A1608,Fundamental_Rights_in_India
1608,A1609,Fundamental_theorem_of_arithmetic
1609,A1610,Fungus
1610,A1611,Fur_language
1611,A1612,Fusarium
1612,A1613,Fyodor_Dostoevsky
1613,A1614,GDRT
1614,A1615,GNOME
1615,A1616,GNU
1616,A1617,GNU_Linux_naming_controversy
1617,A1618,GNU_Project
1618,A1619,Gabon
1619,A1620,Gaborone
1620,A1621,Gadolinium
1621,A1622,Galápagos_Islands
1622,A1623,Galah
1623,A1624,Galaxy
1624,A1625,Galeras
1625,A1626,Galerina
1626,A1627,Galileo_Galilei
1627,A1628,Gallery_of_the_Kings_and_Queens_of_England
1628,A1629,Gallimimus
1629,A1630,Gallium
1630,A1631,Galveston_Hurricane_of_1900
1631,A1632,Game
1632,A1633,Game_theory
1633,A1634,Ganesha
1634,A1635,Ganges_River
1635,A1636,Ganges_shark
1636,A1637,Gangtok
1637,A1638,Garage_(dance_music)
1638,A1639,Garden
1639,A1640,Garden_Gnome_Liberation_Front
1640,A1641,Gardening
1641,A1642,Gas
1642,A1643,Gas_giant
1643,A1644,Gas_metal_arc_welding
1644,A1645,Gas_tungsten_arc_welding
1645,A1646,Gas_turbine-electric_locomotive
1646,A1647,Gaur
1647,A1648,Gauss's_law
1648,A1649,Gautama_Buddha
1649,A1650,Gaza_Strip
1650,A1651,Gazelle
1651,A1652,Gender
1652,A1653,Genealogy
1653,A1654,General_Pershing_Zephyr
1654,A1655,Genetic_code
1655,A1656,Genetics
1656,A1657,Geneva
1657,A1658,Genghis_Khan
1658,A1659,Genoa
1659,A1660,Gentoo_penguin
1660,A1661,Geography
1661,A1662,Geography_of_Africa
1662,A1663,Geography_of_India
1663,A1664,Geography_of_Ireland
1664,A1665,Geography_of_Texas
1665,A1666,Geology
1666,A1667,Geology_of_Dorset
1667,A1668,Geology_of_the_Grand_Canyon_area
1668,A1669,Geometry
1669,A1670,Georg_Cantor
1670,A1671,Georg_Forster
1671,A1672,Georg_von_Boeselager
1672,A1673,"George_Byron,_6th_Baron_Byron"
1673,A1674,George_Eliot
1674,A1675,George_Fox
1675,A1676,George_H._W._Bush
1676,A1677,George_Herbert
1677,A1678,George_III_of_the_United_Kingdom
1678,A1679,George_II_of_Great_Britain
1679,A1680,George_IV_of_the_United_Kingdom
1680,A1681,George_I_of_Great_Britain
1681,A1682,George_Thomas_Coker
1682,A1683,George_VI_of_the_United_Kingdom
1683,A1684,George_V_of_the_United_Kingdom
1684,A1685,George_W._Bush
1685,A1686,George_Washington
1686,A1687,"Georgetown,_Guyana"
1687,A1688,Georgia_(country)
1688,A1689,Gerald_Durrell
1689,A1690,Gerald_Ford
1690,A1691,"German_Crusade,_1096"
1691,A1692,German_language
1692,A1693,German_reunification
1693,A1694,Germanium
1694,A1695,Germany
1695,A1696,Gettysburg_Address
1696,A1697,Ghana
1697,A1698,Ghost_Dance
1698,A1699,Giant's_Causeway
1699,A1700,Giant_Eland
1700,A1701,Giant_Hogweed
1701,A1702,Giant_Panda
1702,A1703,Gibraltar
1703,A1704,Giganotosaurus
1704,A1705,Gilles_Villeneuve
1705,A1706,Giraffe
1706,A1707,Giuseppe_Verdi
1707,A1708,Giza_pyramid_complex
1708,A1709,Glacier
1709,A1710,Glacier_National_Park_(US)
1710,A1711,Glaciology
1711,A1712,Glasgow
1712,A1713,Glass
1713,A1714,Glasses
1714,A1715,Glastonbury_Festival
1715,A1716,GlaxoSmithKline
1716,A1717,Gliding
1717,A1718,Gliese_876
1718,A1719,Gliese_876_b
1719,A1720,Gliese_876_c
1720,A1721,Gliese_876_d
1721,A1722,Global
1722,A1723,Global_city
1723,A1724,Global_spread_of_H5N1
1724,A1725,Global_warming
1725,A1726,Globalization
1726,A1727,Globe_Theatre
1727,A1728,Globular_cluster
1728,A1729,Glorious_Revolution
1729,A1730,Glynn_Lunney
1730,A1731,Gmail
1731,A1732,Go_(board_game)
1732,A1733,Goa
1733,A1734,God
1734,A1735,Gold
1735,A1736,Gold(III)_chloride
1736,A1737,Gold_standard
1737,A1738,Goldcrest
1738,A1739,Golden_Eagle
1739,A1740,Golden_Gate_Highlands_National_Park
1740,A1741,Goldfish
1741,A1742,"Goleta,_California"
1742,A1743,Gone_with_the_Wind_(film)
1743,A1744,Google
1744,A1745,Goose
1745,A1746,Gordon_Brown
1746,A1747,Gordon_Griffith
1747,A1748,Gorilla
1748,A1749,Gossypium
1749,A1750,Gothenburg
1750,A1751,Gottfried_Leibniz
1751,A1752,Government
1752,A1753,Government_of_France
1753,A1754,Gowanus_Canal
1754,A1755,Grand_Canal_of_China
1755,A1756,Grand_Canyon
1756,A1757,Grand_Central_Station_(Chicago)
1757,A1758,Grand_Central_Terminal
1758,A1759,"Grand_Forks,_North_Dakota"
1759,A1760,Grand_Slam_(tennis)
1760,A1761,Grange_Hill
1761,A1762,Granite
1762,A1763,Graniteville_train_disaster
1763,A1764,Grape_seed_oil
1764,A1765,Graphic_novel
1765,A1766,Gravitation
1766,A1767,Gray_Wolf
1767,A1768,Gray_reef_shark
1768,A1769,Grease_(film)
1769,A1770,Great_Auk
1770,A1771,Great_Barrier_Reef
1771,A1772,Great_Black-backed_Gull
1772,A1773,Great_Britain
1773,A1774,Great_Bustard
1774,A1775,Great_Comet_of_1882
1775,A1776,Great_Cormorant
1776,A1777,Great_Crested_Grebe
1777,A1778,Great_Lakes
1778,A1779,Great_Lakes_Storm_of_1913
1779,A1780,Great_Moravia
1780,A1781,Great_Pyramid_of_Giza
1781,A1782,Great_Red_Spot
1782,A1783,Great_Rift_Valley
1783,A1784,Great_Salt_Lake
1784,A1785,Great_Spotted_Woodpecker
1785,A1786,Great_Tit
1786,A1787,Great_Wall_of_China
1787,A1788,Great_Yarmouth
1788,A1789,Great_comet
1789,A1790,Great_hammerhead
1790,A1791,Great_white_shark
1791,A1792,Greater_Cane_Rat
1792,A1793,Greco-Buddhism
1793,A1794,Greece
1794,A1795,Greek_War_of_Independence
1795,A1796,Greek_mythology
1796,A1797,Green_Woodpecker
1797,A1798,Greenhouse_effect
1798,A1799,Greenland
1799,A1800,Greg_LeMond
1800,A1801,Gregor_Mendel
1801,A1802,Gregorian_chant
1802,A1803,Gremlins
1803,A1804,Grenada
1804,A1805,Grevy's_Zebra
1805,A1806,Group_(mathematics)
1806,A1807,Grover_Cleveland
1807,A1808,Guadeloupe
1808,A1809,Guam
1809,A1810,Guangzhou
1810,A1811,Guatemala
1811,A1812,Guernsey
1812,A1813,Guglielmo_Marconi
1813,A1814,Guild
1814,A1815,Guinea
1815,A1816,Guinea-Bissau
1816,A1817,Guinness
1817,A1818,Guitar
1818,A1819,Gulf_of_Mexico
1819,A1820,Gull
1820,A1821,Gunpowder
1821,A1822,Guqin
1822,A1823,Gustav_Holst
1823,A1824,Gustavus_Franklin_Swift
1824,A1825,Guyana
1825,A1826,Gyeongju
1826,A1827,Gypsum
1827,A1828,Hänsel_und_Gretel
1828,A1829,H.D.
1829,A1830,H5N1
1830,A1831,HD_209458_b
1831,A1832,HD_217107
1832,A1833,HD_217107_b
1833,A1834,HD_217107_c
1834,A1835,HD_28185
1835,A1836,HD_28185_b
1836,A1837,HIV
1837,A1838,HIV_AIDS_in_Africa
1838,A1839,HMS_E18
1839,A1840,HSBC
1840,A1841,HTTP_cookie
1841,A1842,H_II_region
1842,A1843,Habsburg_Spain
1843,A1844,Hadrian's_Wall
1844,A1845,Haemophilia
1845,A1846,Hafnium
1846,A1847,Haiti
1847,A1848,Haji_Mohammad_Suharto
1848,A1849,Halfbeak
1849,A1850,Halloween
1850,A1851,Hamburg
1851,A1852,Hamilton-Burr_duel
1852,A1853,Hammurabi
1853,A1854,Hampshire
1854,A1855,Hampstead_Heath
1855,A1856,Hannibal_Barca
1856,A1857,Hanoi
1857,A1858,Harald_Maddadsson
1858,A1859,Haraldskær_Woman
1859,A1860,Harare
1860,A1861,Hardball_squash
1861,A1862,Harlem_Globetrotters
1862,A1863,Harley-Davidson
