,Length of Human Path,Length of Shortest Path,Ratio of Human to Shortest Path
11840,2,2.0,1.0
11841,11,5.0,2.2
11842,3,3.0,1.0
11843,3,2.0,1.5
11844,8,5.0,1.6
11845,6,5.0,1.2
11846,9,5.0,1.8
11847,4,3.0,1.3333333333333333
11848,5,3.0,1.6666666666666667
11849,14,3.0,4.666666666666667
11850,6,4.0,1.5
11851,7,5.0,1.4
11852,5,3.0,1.6666666666666667
11853,4,3.0,1.3333333333333333
11854,4,4.0,1.0
11855,9,3.0,3.0
11856,4,4.0,1.0
11857,5,3.0,1.6666666666666667
11858,4,4.0,1.0
11859,4,4.0,1.0
11860,6,5.0,1.2
11861,4,4.0,1.0
11862,5,4.0,1.25
11863,9,4.0,2.25
11864,5,4.0,1.25
11865,6,4.0,1.5
11866,5,4.0,1.25
11867,10,4.0,2.5
11868,10,4.0,2.5
11869,7,4.0,1.75
11870,5,4.0,1.25
11871,7,4.0,1.75
11872,6,4.0,1.5
11873,6,4.0,1.5
11874,4,4.0,1.0
11875,3,3.0,1.0
11876,9,4.0,2.25
11877,6,4.0,1.5
11878,6,4.0,1.5
11879,5,4.0,1.25
11880,6,4.0,1.5
11881,4,4.0,1.0
11882,7,5.0,1.4
11883,8,5.0,1.6
11884,12,5.0,2.4
11885,8,5.0,1.6
11886,6,4.0,1.5
11887,7,3.0,2.3333333333333335
11888,7,3.0,2.3333333333333335
11889,6,3.0,2.0
11890,4,4.0,1.0
11891,6,4.0,1.5
11892,7,4.0,1.75
11893,5,3.0,1.6666666666666667
11894,4,3.0,1.3333333333333333
11895,4,4.0,1.0
11896,7,4.0,1.75
11897,5,4.0,1.25
11898,3,3.0,1.0
11899,4,4.0,1.0
11900,6,3.0,2.0
11901,6,3.0,2.0
11902,6,3.0,2.0
11903,3,3.0,1.0
11904,6,3.0,2.0
11905,5,3.0,1.6666666666666667
11906,4,3.0,1.3333333333333333
11907,5,3.0,1.6666666666666667
11908,4,3.0,1.3333333333333333
11909,5,4.0,1.25
11910,5,3.0,1.6666666666666667
11911,5,4.0,1.25
11912,6,4.0,1.5
11913,7,4.0,1.75
11914,4,4.0,1.0
11915,6,4.0,1.5
11916,7,4.0,1.75
11917,6,4.0,1.5
11918,5,4.0,1.25
11919,5,4.0,1.25
11920,9,4.0,2.25
11921,6,4.0,1.5
11922,7,5.0,1.4
11923,6,4.0,1.5
11924,6,3.0,2.0
11925,4,4.0,1.0
11926,4,4.0,1.0
11927,4,4.0,1.0
11928,4,4.0,1.0
11929,5,4.0,1.25
11930,4,4.0,1.0
11931,3,3.0,1.0
11932,3,3.0,1.0
11933,5,3.0,1.6666666666666667
11934,6,3.0,2.0
11935,7,4.0,1.75
11936,4,3.0,1.3333333333333333
11937,4,2.0,2.0
11938,4,3.0,1.3333333333333333
11939,4,3.0,1.3333333333333333
11940,8,4.0,2.0
11941,10,4.0,2.5
11942,6,4.0,1.5
11943,11,4.0,2.75
11944,6,3.0,2.0
11945,4,3.0,1.3333333333333333
11946,4,3.0,1.3333333333333333
11947,5,4.0,1.25
11948,4,4.0,1.0
11949,3,3.0,1.0
11950,7,4.0,1.75
11951,6,4.0,1.5
11952,5,4.0,1.25
11953,3,3.0,1.0
11954,8,3.0,2.6666666666666665
11955,3,3.0,1.0
11956,8,3.0,2.6666666666666665
11957,5,3.0,1.6666666666666667
11958,5,3.0,1.6666666666666667
11959,5,3.0,1.6666666666666667
11960,7,3.0,2.3333333333333335
11961,3,3.0,1.0
11962,5,3.0,1.6666666666666667
11963,21,4.0,5.25
11964,8,2.0,4.0
11965,2,2.0,1.0
11966,14,6.0,2.3333333333333335
11967,7,6.0,1.1666666666666667
11968,7,6.0,1.1666666666666667
11969,4,4.0,1.0
11970,7,4.0,1.75
11971,9,4.0,2.25
11972,6,4.0,1.5
11973,5,3.0,1.6666666666666667
11974,7,4.0,1.75
11975,6,4.0,1.5
11976,5,4.0,1.25
11977,9,4.0,2.25
11978,4,3.0,1.3333333333333333
11979,5,4.0,1.25
11980,2,2.0,1.0
11981,7,4.0,1.75
11982,5,4.0,1.25
11983,5,5.0,1.0
11984,7,5.0,1.4
11985,9,4.0,2.25
11986,8,4.0,2.0
11987,4,4.0,1.0
11988,8,4.0,2.0
11989,5,4.0,1.25
11990,12,4.0,3.0
11991,8,4.0,2.0
11992,11,4.0,2.75
11993,5,4.0,1.25
11994,15,5.0,3.0
11995,9,5.0,1.8
11996,8,5.0,1.6
11997,9,5.0,1.8
11998,6,4.0,1.5
11999,4,4.0,1.0
12000,6,4.0,1.5
12001,6,3.0,2.0
12002,6,4.0,1.5
12003,3,3.0,1.0
12004,6,4.0,1.5
12005,5,4.0,1.25
12006,8,4.0,2.0
12007,5,4.0,1.25
12008,12,4.0,3.0
12009,6,4.0,1.5
12010,5,4.0,1.25
12011,6,4.0,1.5
12012,4,4.0,1.0
12013,3,3.0,1.0
12014,6,5.0,1.2
12015,9,5.0,1.8
12016,8,5.0,1.6
12017,4,3.0,1.3333333333333333
12018,6,4.0,1.5
12019,4,4.0,1.0
12020,13,4.0,3.25
12021,9,3.0,3.0
12022,3,3.0,1.0
12023,9,4.0,2.25
12024,7,4.0,1.75
12025,4,4.0,1.0
12026,8,4.0,2.0
12027,6,4.0,1.5
12028,6,4.0,1.5
12029,6,4.0,1.5
12030,4,4.0,1.0
12031,5,3.0,1.6666666666666667
12032,4,3.0,1.3333333333333333
12033,5,3.0,1.6666666666666667
12034,3,3.0,1.0
12035,6,3.0,2.0
12036,4,3.0,1.3333333333333333
12037,5,3.0,1.6666666666666667
12038,3,3.0,1.0
12039,5,3.0,1.6666666666666667
12040,6,4.0,1.5
12041,7,5.0,1.4
12042,7,5.0,1.4
12043,7,5.0,1.4
12044,8,4.0,2.0
12045,5,4.0,1.25
12046,4,3.0,1.3333333333333333
12047,6,4.0,1.5
12048,9,4.0,2.25
12049,5,4.0,1.25
12050,15,4.0,3.75
12051,8,5.0,1.6
12052,7,5.0,1.4
12053,6,5.0,1.2
12054,15,4.0,3.75
12055,5,4.0,1.25
12056,4,4.0,1.0
12057,5,4.0,1.25
12058,6,4.0,1.5
12059,4,3.0,1.3333333333333333
12060,9,3.0,3.0
12061,8,4.0,2.0
12062,10,4.0,2.5
12063,9,4.0,2.25
12064,7,4.0,1.75
12065,5,4.0,1.25
12066,6,3.0,2.0
12067,4,3.0,1.3333333333333333
12068,4,3.0,1.3333333333333333
12069,4,3.0,1.3333333333333333
12070,7,3.0,2.3333333333333335
12071,8,3.0,2.6666666666666665
12072,7,4.0,1.75
12073,10,4.0,2.5
12074,5,4.0,1.25
12075,5,4.0,1.25
12076,5,4.0,1.25
12077,3,2.0,1.5
12078,4,4.0,1.0
12079,6,4.0,1.5
12080,5,4.0,1.25
12081,5,4.0,1.25
12082,4,4.0,1.0
12083,4,4.0,1.0
12084,4,4.0,1.0
12085,9,5.0,1.8
12086,8,5.0,1.6
12087,10,5.0,2.0
12088,15,3.0,5.0
12089,5,4.0,1.25
12090,5,4.0,1.25
12091,5,4.0,1.25
12092,5,4.0,1.25
12093,7,4.0,1.75
12094,7,4.0,1.75
12095,8,4.0,2.0
12096,12,4.0,3.0
12097,4,4.0,1.0
12098,6,4.0,1.5
12099,5,4.0,1.25
12100,7,4.0,1.75
12101,7,4.0,1.75
12102,18,4.0,4.5
12103,9,5.0,1.8
12104,7,5.0,1.4
12105,4,3.0,1.3333333333333333
12106,3,2.0,1.5
12107,12,4.0,3.0
12108,8,4.0,2.0
12109,6,4.0,1.5
12110,5,4.0,1.25
12111,5,4.0,1.25
12112,4,4.0,1.0
12113,4,4.0,1.0
12114,8,4.0,2.0
12115,5,4.0,1.25
12116,6,4.0,1.5
12117,7,3.0,2.3333333333333335
12118,4,4.0,1.0
12119,9,5.0,1.8
12120,11,5.0,2.2
12121,5,5.0,1.0
12122,5,5.0,1.0
12123,6,4.0,1.5
12124,6,4.0,1.5
12125,10,3.0,3.3333333333333335
12126,4,3.0,1.3333333333333333
12127,5,4.0,1.25
12128,4,4.0,1.0
12129,8,4.0,2.0
12130,6,4.0,1.5
12131,4,4.0,1.0
12132,4,3.0,1.3333333333333333
12133,5,4.0,1.25
12134,6,4.0,1.5
12135,8,4.0,2.0
12136,6,4.0,1.5
12137,6,5.0,1.2
12138,10,3.0,3.3333333333333335
12139,4,3.0,1.3333333333333333
12140,5,4.0,1.25
12141,9,3.0,3.0
12142,4,3.0,1.3333333333333333
12143,7,3.0,2.3333333333333335
12144,5,3.0,1.6666666666666667
12145,5,3.0,1.6666666666666667
12146,13,5.0,2.6
12147,4,4.0,1.0
12148,7,5.0,1.4
12149,8,5.0,1.6
12150,5,4.0,1.25
12151,5,4.0,1.25
12152,5,4.0,1.25
12153,8,4.0,2.0
12154,10,4.0,2.5
12155,11,4.0,2.75
12156,7,4.0,1.75
12157,8,5.0,1.6
12158,7,4.0,1.75
12159,5,4.0,1.25
12160,6,4.0,1.5
12161,6,4.0,1.5
12162,11,4.0,2.75
12163,5,4.0,1.25
12164,5,4.0,1.25
12165,6,4.0,1.5
12166,3,3.0,1.0
12167,6,4.0,1.5
12168,5,4.0,1.25
12169,9,4.0,2.25
12170,5,4.0,1.25
12171,11,4.0,2.75
12172,15,5.0,3.0
12173,10,5.0,2.0
12174,14,5.0,2.8
12175,5,4.0,1.25
12176,8,4.0,2.0
12177,3,3.0,1.0
12178,3,3.0,1.0
12179,6,3.0,2.0
12180,6,3.0,2.0
12181,6,4.0,1.5
12182,7,4.0,1.75
12183,12,4.0,3.0
12184,7,4.0,1.75
12185,8,4.0,2.0
12186,9,4.0,2.25
12187,5,4.0,1.25
12188,9,4.0,2.25
12189,6,4.0,1.5
12190,15,4.0,3.75
12191,5,4.0,1.25
12192,7,4.0,1.75
12193,5,4.0,1.25
12194,5,4.0,1.25
12195,14,4.0,3.5
12196,8,4.0,2.0
12197,5,4.0,1.25
12198,10,5.0,2.0
12199,7,5.0,1.4
12200,6,4.0,1.5
12201,5,4.0,1.25
12202,3,3.0,1.0
12203,3,3.0,1.0
12204,2,2.0,1.0
12205,3,3.0,1.0
12206,4,4.0,1.0
12207,4,4.0,1.0
12208,6,4.0,1.5
12209,3,3.0,1.0
12210,8,4.0,2.0
12211,5,4.0,1.25
12212,4,4.0,1.0
12213,5,4.0,1.25
12214,4,3.0,1.3333333333333333
12215,6,4.0,1.5
12216,5,4.0,1.25
12217,5,4.0,1.25
12218,9,4.0,2.25
12219,8,4.0,2.0
12220,14,4.0,3.5
12221,9,4.0,2.25
12222,7,5.0,1.4
12223,4,4.0,1.0
12224,2,2.0,1.0
12225,4,3.0,1.3333333333333333
12226,47,4.0,11.75
12227,7,4.0,1.75
12228,7,4.0,1.75
12229,8,4.0,2.0
12230,8,4.0,2.0
12231,6,4.0,1.5
12232,9,4.0,2.25
12233,8,4.0,2.0
12234,6,4.0,1.5
12235,6,4.0,1.5
12236,9,4.0,2.25
12237,5,4.0,1.25
12238,5,4.0,1.25
12239,9,4.0,2.25
12240,8,4.0,2.0
12241,7,4.0,1.75
12242,7,4.0,1.75
12243,9,4.0,2.25
12244,7,4.0,1.75
12245,5,4.0,1.25
12246,5,4.0,1.25
12247,5,4.0,1.25
12248,8,4.0,2.0
12249,9,4.0,2.25
12250,5,4.0,1.25
12251,5,4.0,1.25
12252,7,4.0,1.75
12253,6,4.0,1.5
12254,10,4.0,2.5
12255,8,4.0,2.0
12256,6,4.0,1.5
12257,4,4.0,1.0
12258,9,4.0,2.25
12259,8,4.0,2.0
12260,5,4.0,1.25
12261,8,4.0,2.0
12262,9,4.0,2.25
12263,7,4.0,1.75
12264,13,4.0,3.25
12265,7,4.0,1.75
12266,10,4.0,2.5
12267,5,4.0,1.25
12268,6,4.0,1.5
12269,6,4.0,1.5
12270,7,4.0,1.75
12271,8,4.0,2.0
12272,7,4.0,1.75
12273,7,4.0,1.75
12274,5,4.0,1.25
12275,5,4.0,1.25
12276,6,4.0,1.5
12277,5,4.0,1.25
12278,5,4.0,1.25
12279,5,4.0,1.25
12280,8,4.0,2.0
12281,6,4.0,1.5
12282,5,4.0,1.25
12283,6,4.0,1.5
12284,5,4.0,1.25
12285,6,4.0,1.5
12286,5,4.0,1.25
12287,7,4.0,1.75
12288,7,4.0,1.75
12289,5,4.0,1.25
12290,7,4.0,1.75
12291,5,4.0,1.25
12292,11,4.0,2.75
12293,5,4.0,1.25
12294,12,4.0,3.0
12295,5,4.0,1.25
12296,8,4.0,2.0
12297,7,4.0,1.75
12298,5,4.0,1.25
12299,8,4.0,2.0
12300,12,4.0,3.0
12301,6,4.0,1.5
12302,7,4.0,1.75
12303,7,4.0,1.75
12304,10,4.0,2.5
12305,5,4.0,1.25
12306,11,4.0,2.75
12307,7,4.0,1.75
12308,5,4.0,1.25
12309,9,4.0,2.25
12310,5,4.0,1.25
12311,9,4.0,2.25
12312,6,4.0,1.5
12313,6,4.0,1.5
12314,7,4.0,1.75
12315,8,4.0,2.0
12316,5,4.0,1.25
12317,5,4.0,1.25
12318,8,4.0,2.0
12319,10,4.0,2.5
12320,5,4.0,1.25
12321,13,4.0,3.25
12322,5,4.0,1.25
12323,5,4.0,1.25
12324,12,4.0,3.0
12325,14,4.0,3.5
12326,5,4.0,1.25
12327,7,4.0,1.75
12328,4,4.0,1.0
12329,8,4.0,2.0
12330,12,4.0,3.0
12331,6,4.0,1.5
12332,6,4.0,1.5
12333,5,4.0,1.25
12334,10,4.0,2.5
12335,5,4.0,1.25
12336,5,4.0,1.25
12337,6,4.0,1.5
12338,10,4.0,2.5
12339,9,4.0,2.25
12340,6,4.0,1.5
12341,18,4.0,4.5
12342,8,4.0,2.0
12343,6,4.0,1.5
12344,8,4.0,2.0
12345,9,4.0,2.25
12346,6,4.0,1.5
12347,9,4.0,2.25
12348,5,4.0,1.25
12349,5,4.0,1.25
12350,9,4.0,2.25
12351,5,4.0,1.25
12352,5,4.0,1.25
12353,13,4.0,3.25
12354,8,4.0,2.0
12355,9,4.0,2.25
12356,5,4.0,1.25
12357,5,4.0,1.25
12358,8,4.0,2.0
12359,6,4.0,1.5
12360,5,4.0,1.25
12361,10,4.0,2.5
12362,7,4.0,1.75
12363,10,4.0,2.5
12364,6,4.0,1.5
12365,9,4.0,2.25
12366,7,4.0,1.75
12367,7,4.0,1.75
12368,7,4.0,1.75
12369,5,4.0,1.25
12370,8,4.0,2.0
12371,8,4.0,2.0
12372,5,4.0,1.25
12373,8,4.0,2.0
12374,7,4.0,1.75
12375,6,4.0,1.5
12376,6,4.0,1.5
12377,5,4.0,1.25
12378,5,4.0,1.25
12379,7,4.0,1.75
12380,6,4.0,1.5
12381,5,4.0,1.25
12382,10,4.0,2.5
12383,5,4.0,1.25
12384,10,4.0,2.5
12385,6,4.0,1.5
12386,11,4.0,2.75
12387,6,4.0,1.5
12388,10,4.0,2.5
12389,6,4.0,1.5
12390,7,4.0,1.75
12391,7,4.0,1.75
12392,5,4.0,1.25
12393,5,4.0,1.25
12394,5,4.0,1.25
12395,6,4.0,1.5
12396,6,4.0,1.5
12397,5,4.0,1.25
12398,5,4.0,1.25
12399,7,4.0,1.75
12400,5,4.0,1.25
12401,10,4.0,2.5
12402,5,4.0,1.25
12403,9,4.0,2.25
12404,10,4.0,2.5
12405,5,4.0,1.25
12406,5,4.0,1.25
12407,8,4.0,2.0
12408,6,4.0,1.5
12409,5,4.0,1.25
12410,5,4.0,1.25
12411,7,4.0,1.75
12412,6,4.0,1.5
12413,7,4.0,1.75
12414,6,4.0,1.5
12415,5,4.0,1.25
12416,5,4.0,1.25
12417,10,4.0,2.5
12418,9,4.0,2.25
12419,10,4.0,2.5
12420,7,4.0,1.75
12421,7,4.0,1.75
12422,14,4.0,3.5
12423,5,4.0,1.25
12424,6,4.0,1.5
12425,7,4.0,1.75
12426,10,4.0,2.5
12427,9,4.0,2.25
12428,7,4.0,1.75
12429,8,4.0,2.0
12430,7,4.0,1.75
12431,6,4.0,1.5
12432,9,4.0,2.25
12433,7,4.0,1.75
12434,6,4.0,1.5
12435,11,4.0,2.75
12436,7,4.0,1.75
12437,6,4.0,1.5
12438,7,4.0,1.75
12439,11,4.0,2.75
12440,8,4.0,2.0
12441,7,4.0,1.75
12442,5,4.0,1.25
12443,8,4.0,2.0
12444,6,4.0,1.5
12445,7,4.0,1.75
12446,16,4.0,4.0
12447,5,4.0,1.25
12448,14,4.0,3.5
12449,5,4.0,1.25
12450,7,4.0,1.75
12451,5,4.0,1.25
12452,4,4.0,1.0
12453,6,4.0,1.5
12454,8,4.0,2.0
12455,5,4.0,1.25
12456,5,4.0,1.25
12457,11,4.0,2.75
12458,6,4.0,1.5
12459,6,4.0,1.5
12460,5,4.0,1.25
12461,6,4.0,1.5
12462,9,4.0,2.25
12463,5,4.0,1.25
12464,5,4.0,1.25
12465,8,4.0,2.0
12466,7,4.0,1.75
12467,11,4.0,2.75
12468,6,4.0,1.5
12469,7,4.0,1.75
12470,9,4.0,2.25
12471,5,4.0,1.25
12472,13,4.0,3.25
12473,8,4.0,2.0
12474,13,4.0,3.25
12475,7,4.0,1.75
12476,11,4.0,2.75
12477,8,4.0,2.0
12478,4,4.0,1.0
12479,6,4.0,1.5
12480,11,4.0,2.75
12481,13,4.0,3.25
12482,7,4.0,1.75
12483,5,4.0,1.25
12484,7,4.0,1.75
12485,7,4.0,1.75
12486,9,4.0,2.25
12487,6,4.0,1.5
12488,7,4.0,1.75
12489,16,4.0,4.0
12490,9,4.0,2.25
12491,9,4.0,2.25
12492,7,4.0,1.75
12493,6,4.0,1.5
12494,7,4.0,1.75
12495,9,4.0,2.25
12496,6,4.0,1.5
12497,8,4.0,2.0
12498,6,4.0,1.5
12499,5,4.0,1.25
12500,8,4.0,2.0
12501,14,4.0,3.5
12502,6,4.0,1.5
12503,6,4.0,1.5
12504,7,4.0,1.75
12505,5,4.0,1.25
12506,6,4.0,1.5
12507,7,4.0,1.75
12508,5,4.0,1.25
12509,7,4.0,1.75
12510,5,4.0,1.25
12511,5,4.0,1.25
12512,8,4.0,2.0
12513,6,4.0,1.5
12514,12,4.0,3.0
12515,10,4.0,2.5
12516,8,4.0,2.0
12517,6,4.0,1.5
12518,7,4.0,1.75
12519,5,4.0,1.25
12520,6,4.0,1.5
12521,7,4.0,1.75
12522,8,4.0,2.0
12523,11,4.0,2.75
12524,7,4.0,1.75
12525,7,4.0,1.75
12526,4,4.0,1.0
12527,4,4.0,1.0
12528,10,4.0,2.5
12529,4,4.0,1.0
12530,8,4.0,2.0
12531,6,4.0,1.5
12532,7,4.0,1.75
12533,7,4.0,1.75
12534,5,4.0,1.25
12535,9,4.0,2.25
12536,7,4.0,1.75
12537,7,4.0,1.75
12538,10,4.0,2.5
12539,8,4.0,2.0
12540,9,4.0,2.25
12541,9,4.0,2.25
12542,10,4.0,2.5
12543,4,4.0,1.0
12544,12,4.0,3.0
12545,5,4.0,1.25
12546,6,4.0,1.5
12547,14,4.0,3.5
12548,9,4.0,2.25
12549,5,4.0,1.25
12550,8,4.0,2.0
12551,5,4.0,1.25
12552,6,4.0,1.5
12553,5,4.0,1.25
12554,7,4.0,1.75
12555,6,4.0,1.5
12556,7,4.0,1.75
12557,5,4.0,1.25
12558,6,4.0,1.5
12559,6,4.0,1.5
12560,8,4.0,2.0
12561,6,4.0,1.5
12562,12,4.0,3.0
12563,9,4.0,2.25
12564,7,4.0,1.75
12565,10,4.0,2.5
12566,8,4.0,2.0
12567,8,4.0,2.0
12568,9,4.0,2.25
12569,6,4.0,1.5
12570,10,4.0,2.5
12571,8,4.0,2.0
12572,7,4.0,1.75
12573,5,4.0,1.25
12574,5,4.0,1.25
12575,9,4.0,2.25
12576,6,4.0,1.5
12577,5,4.0,1.25
12578,21,4.0,5.25
12579,5,4.0,1.25
12580,9,4.0,2.25
12581,6,4.0,1.5
12582,6,4.0,1.5
12583,5,4.0,1.25
12584,4,4.0,1.0
12585,15,4.0,3.75
12586,7,4.0,1.75
12587,6,4.0,1.5
12588,8,4.0,2.0
12589,9,4.0,2.25
12590,7,4.0,1.75
12591,7,4.0,1.75
12592,5,4.0,1.25
12593,8,4.0,2.0
12594,7,4.0,1.75
12595,11,4.0,2.75
12596,5,4.0,1.25
12597,6,4.0,1.5
12598,7,4.0,1.75
12599,16,4.0,4.0
12600,5,4.0,1.25
12601,15,4.0,3.75
12602,7,4.0,1.75
12603,14,4.0,3.5
12604,6,4.0,1.5
12605,6,4.0,1.5
12606,6,4.0,1.5
12607,10,4.0,2.5
12608,8,4.0,2.0
12609,5,4.0,1.25
12610,10,4.0,2.5
12611,4,4.0,1.0
12612,5,4.0,1.25
12613,7,4.0,1.75
12614,6,4.0,1.5
12615,10,4.0,2.5
12616,10,4.0,2.5
12617,13,4.0,3.25
12618,11,4.0,2.75
12619,6,4.0,1.5
12620,6,4.0,1.5
12621,7,4.0,1.75
12622,7,4.0,1.75
12623,19,4.0,4.75
12624,7,4.0,1.75
12625,8,4.0,2.0
12626,8,4.0,2.0
12627,13,4.0,3.25
12628,5,4.0,1.25
12629,6,4.0,1.5
12630,6,4.0,1.5
12631,5,4.0,1.25
12632,5,4.0,1.25
12633,6,4.0,1.5
12634,20,4.0,5.0
12635,5,4.0,1.25
12636,6,4.0,1.5
12637,8,4.0,2.0
12638,6,4.0,1.5
12639,7,4.0,1.75
12640,6,4.0,1.5
12641,8,4.0,2.0
12642,5,4.0,1.25
12643,9,4.0,2.25
12644,11,4.0,2.75
12645,8,4.0,2.0
12646,11,4.0,2.75
12647,4,4.0,1.0
12648,7,4.0,1.75
12649,5,4.0,1.25
12650,5,4.0,1.25
12651,8,4.0,2.0
12652,12,4.0,3.0
12653,7,4.0,1.75
12654,7,4.0,1.75
12655,9,4.0,2.25
12656,10,4.0,2.5
12657,9,4.0,2.25
12658,8,4.0,2.0
12659,6,4.0,1.5
12660,10,4.0,2.5
12661,8,4.0,2.0
12662,8,4.0,2.0
12663,5,4.0,1.25
12664,8,4.0,2.0
12665,5,4.0,1.25
12666,4,4.0,1.0
12667,9,4.0,2.25
12668,6,4.0,1.5
12669,6,4.0,1.5
12670,6,4.0,1.5
12671,9,4.0,2.25
12672,5,4.0,1.25
12673,7,4.0,1.75
12674,7,4.0,1.75
12675,7,4.0,1.75
12676,6,4.0,1.5
12677,8,4.0,2.0
12678,8,4.0,2.0
12679,6,4.0,1.5
12680,6,4.0,1.5
12681,14,4.0,3.5
12682,6,4.0,1.5
12683,6,4.0,1.5
12684,5,4.0,1.25
12685,6,4.0,1.5
12686,6,4.0,1.5
12687,5,4.0,1.25
12688,9,4.0,2.25
12689,5,4.0,1.25
12690,8,4.0,2.0
12691,12,4.0,3.0
12692,7,4.0,1.75
12693,5,4.0,1.25
12694,8,4.0,2.0
12695,8,4.0,2.0
12696,7,4.0,1.75
12697,7,4.0,1.75
12698,6,4.0,1.5
12699,6,4.0,1.5
12700,7,4.0,1.75
12701,9,4.0,2.25
12702,11,4.0,2.75
12703,7,4.0,1.75
12704,5,4.0,1.25
12705,5,4.0,1.25
12706,5,4.0,1.25
12707,6,4.0,1.5
12708,7,4.0,1.75
12709,7,4.0,1.75
12710,7,4.0,1.75
12711,8,4.0,2.0
12712,10,4.0,2.5
12713,10,4.0,2.5
12714,10,4.0,2.5
12715,5,4.0,1.25
12716,6,4.0,1.5
12717,5,4.0,1.25
12718,7,4.0,1.75
12719,5,4.0,1.25
12720,5,4.0,1.25
12721,5,4.0,1.25
12722,5,4.0,1.25
12723,5,4.0,1.25
12724,7,4.0,1.75
12725,6,4.0,1.5
12726,6,4.0,1.5
12727,8,4.0,2.0
12728,6,4.0,1.5
12729,8,4.0,2.0
12730,9,4.0,2.25
12731,6,4.0,1.5
12732,5,4.0,1.25
12733,7,4.0,1.75
12734,6,4.0,1.5
12735,5,4.0,1.25
12736,6,4.0,1.5
12737,4,4.0,1.0
12738,6,4.0,1.5
12739,6,4.0,1.5
12740,6,4.0,1.5
12741,9,4.0,2.25
12742,9,4.0,2.25
12743,7,4.0,1.75
12744,5,4.0,1.25
12745,7,4.0,1.75
12746,9,4.0,2.25
12747,9,4.0,2.25
12748,10,4.0,2.5
12749,7,4.0,1.75
12750,5,4.0,1.25
12751,8,4.0,2.0
12752,6,4.0,1.5
12753,7,4.0,1.75
12754,14,4.0,3.5
12755,5,4.0,1.25
12756,7,4.0,1.75
12757,8,4.0,2.0
12758,11,4.0,2.75
12759,6,4.0,1.5
12760,14,4.0,3.5
12761,6,4.0,1.5
12762,8,4.0,2.0
12763,7,4.0,1.75
12764,6,4.0,1.5
12765,6,4.0,1.5
12766,9,4.0,2.25
12767,7,4.0,1.75
12768,7,4.0,1.75
12769,7,4.0,1.75
12770,8,4.0,2.0
12771,5,4.0,1.25
12772,14,4.0,3.5
12773,8,4.0,2.0
12774,7,4.0,1.75
12775,6,4.0,1.5
12776,7,4.0,1.75
12777,7,4.0,1.75
12778,5,4.0,1.25
12779,5,4.0,1.25
12780,6,4.0,1.5
12781,19,4.0,4.75
12782,7,4.0,1.75
12783,10,4.0,2.5
12784,6,4.0,1.5
12785,9,4.0,2.25
12786,12,4.0,3.0
12787,5,4.0,1.25
12788,5,4.0,1.25
12789,5,4.0,1.25
12790,6,4.0,1.5
12791,6,4.0,1.5
12792,13,4.0,3.25
12793,14,4.0,3.5
12794,5,4.0,1.25
12795,8,4.0,2.0
12796,5,4.0,1.25
12797,9,4.0,2.25
12798,8,4.0,2.0
12799,5,4.0,1.25
12800,5,4.0,1.25
12801,5,4.0,1.25
12802,6,4.0,1.5
12803,8,4.0,2.0
12804,7,4.0,1.75
12805,7,4.0,1.75
12806,6,4.0,1.5
12807,7,4.0,1.75
12808,6,4.0,1.5
12809,6,4.0,1.5
12810,6,4.0,1.5
12811,10,4.0,2.5
12812,11,4.0,2.75
12813,7,4.0,1.75
12814,8,4.0,2.0
12815,7,4.0,1.75
12816,6,4.0,1.5
12817,5,4.0,1.25
12818,11,4.0,2.75
12819,6,4.0,1.5
12820,8,4.0,2.0
12821,10,4.0,2.5
12822,9,4.0,2.25
12823,7,4.0,1.75
12824,5,4.0,1.25
12825,7,4.0,1.75
12826,7,4.0,1.75
12827,8,4.0,2.0
12828,8,4.0,2.0
12829,5,4.0,1.25
12830,9,4.0,2.25
12831,5,4.0,1.25
12832,5,4.0,1.25
12833,7,4.0,1.75
12834,10,4.0,2.5
12835,5,4.0,1.25
12836,6,4.0,1.5
12837,8,4.0,2.0
12838,8,4.0,2.0
12839,7,4.0,1.75
12840,7,4.0,1.75
12841,8,4.0,2.0
12842,10,4.0,2.5
12843,5,4.0,1.25
12844,6,4.0,1.5
12845,5,4.0,1.25
12846,5,4.0,1.25
12847,7,4.0,1.75
12848,6,4.0,1.5
12849,6,4.0,1.5
12850,7,4.0,1.75
12851,6,4.0,1.5
12852,9,4.0,2.25
12853,8,4.0,2.0
12854,8,4.0,2.0
12855,4,4.0,1.0
12856,10,4.0,2.5
12857,6,4.0,1.5
12858,5,4.0,1.25
12859,8,4.0,2.0
12860,10,4.0,2.5
12861,8,4.0,2.0
12862,8,4.0,2.0
12863,6,4.0,1.5
12864,6,4.0,1.5
12865,7,4.0,1.75
12866,8,4.0,2.0
12867,5,4.0,1.25
12868,7,4.0,1.75
12869,5,4.0,1.25
12870,6,4.0,1.5
12871,7,4.0,1.75
12872,6,4.0,1.5
12873,7,4.0,1.75
12874,8,4.0,2.0
12875,4,4.0,1.0
12876,5,4.0,1.25
12877,5,4.0,1.25
12878,5,4.0,1.25
12879,4,4.0,1.0
12880,4,4.0,1.0
12881,11,4.0,2.75
12882,9,4.0,2.25
12883,7,4.0,1.75
12884,6,4.0,1.5
12885,9,4.0,2.25
12886,5,4.0,1.25
12887,5,4.0,1.25
12888,6,4.0,1.5
12889,11,4.0,2.75
12890,5,4.0,1.25
